tot build ln
43368 0.7210 1.0000
53362 0.6170 1.0000
262612 1.7000 1.0000
36720 0.5360 1.0000
623852 3.7060 1.0000
911572 10.5040 1.0000
107350 0.7910 1.0000
126326 1.0070 1.0000
1557948 6.0290 1.0000
778918 3.2020 1.0000
123876 1.0520 1.0000
989488 4.2410 1.0000
1411906 7.7450 1.0000
184982 3.8070 1.0000
1238016 14.6490 1.0000
1238016 4.6800 1.0000
27566 2.1520 1.0000
504950 2.7730 1.0000
359648 1.8610 1.0000
156584 1.1380 1.0000
420140 2.3010 1.0000
225284 1.4160 1.0000
841384 3.5060 1.0000
177392 1.1230 1.0000
283604 1.5890 1.0000
418876 2.3970 1.0000
128866 3.3210 1.0000
365538 3.6540 1.0000
13268 0.4860 1.0000
118986 0.9830 1.0000
253892 4.7480 1.0000
1074240 12.9430 1.0000
180104 2.8640 1.0000
260902 1.4980 1.0000
266702 1.5440 1.0000
56548 5.3530 1.0000
1074240 9.5330 1.0000
277232 11.4580 1.0000
48188 0.7870 1.0000
234082 1.3740 1.0000
48824 0.6930 1.0000
313724 1.9040 1.0000
70562 0.8040 1.0000
152360 1.0660 1.0000
209948 7.7890 1.0000
583538 3.2520 1.0000
819090 4.9070 1.0000
696496 4.5910 1.0000
1074240 4.7660 1.0000
75054 0.7320 1.0000
743886 24.5550 1.0000
1238016 14.1450 1.0000
181394 1.1990 1.0000
124190 0.9850 1.0000
997948 5.3410 1.0000
1298874 5.0810 1.0000
654300 9.4830 1.0000
188698 1.2510 1.0000
81414 0.7990 1.0000
99470 0.9220 1.0000
32192 0.6280 1.0000
47312 2.5760 1.0000
285072 1.5250 1.0000
421932 8.1870 1.0000
1098752 11.4280 1.0000
26602 1.7820 1.0000
1083314 4.5620 1.0000
210036 1.4090 1.0000
357134 1.9630 1.0000
92360 0.7590 1.0000
1206696 5.5950 1.0000
73262 0.6930 1.0000
111928 5.6170 1.0000
25316 3.5700 1.0000
1098752 10.8620 1.0000
44802 0.6430 1.0000
32722 0.5980 1.0000
1097940 14.4420 1.0000
157940 1.2020 1.0000
28614 0.5730 1.0000
531504 5.9230 1.0000
743886 3.7850 1.0000
380562 2.6830 1.0000
110740 3.9210 1.0000
296378 2.0140 1.0000
52294 0.7150 1.0000
206354 1.5200 1.0000
12386 0.4590 1.0000
30408 0.9420 1.0000
189096 3.0050 1.0000
316278 1.6610 1.0000
75694 0.7380 1.0000
1405440 6.2800 1.0000
80906 0.7400 1.0000
13794 0.4980 1.0000
982870 8.9750 1.0000
44066 0.6090 1.0000
62664 0.6830 1.0000
967136 4.5260 1.0000
1238016 30.2720 1.0000
234388 1.9520 1.0000
59520 0.6800 1.0000
259036 1.7500 1.0000
1463724 5.3980 1.0000
801048 5.2360 1.0000
65736 0.7110 1.0000
757272 3.5220 1.0000
814104 3.6280 1.0000
41336 5.6590 1.0000
102900 0.8630 1.0000
231194 6.7930 1.0000
777682 4.4000 1.0000
1238016 15.2000 1.0000
95828 0.8120 1.0000
55046 0.6310 1.0000
36198 4.2470 1.0000
1083314 4.3900 1.0000
425080 2.4130 1.0000
1411906 10.7190 1.0000
89466 5.4730 1.0000
1238016 29.5010 1.0000
84208 3.1530 1.0000
86800 3.6210 1.0000
78664 2.1830 1.0000
1373696 5.0800 1.0000
95946 0.8520 1.0000
1238016 5.0260 1.0000
772848 3.8360 1.0000
50706 0.6390 1.0000
495114 2.2150 1.0000
53912 0.6320 1.0000
20002 0.4790 1.0000
982870 3.7750 1.0000
1238016 9.0870 1.0000
1405440 12.7560 1.0000
778918 3.6420 1.0000
17206 0.5050 1.0000
895308 16.2490 1.0000
1083314 7.8390 1.0000
1083314 4.2990 1.0000
170438 1.0340 1.0000
123088 1.4180 1.0000
17630 0.4910 1.0000
223818 1.4740 1.0000
1215744 4.6680 1.0000
199694 4.9900 1.0000
51168 0.7840 1.0000
20302 0.4590 1.0000
17556 0.4730 1.0000
1136432 4.4220 1.0000
810212 7.0210 1.0000
137052 14.0790 1.0000
130694 1.0630 1.0000
1857024 7.2880 1.5850
11796 0.5320 1.5850
120014 4.9550 1.5850
1395742 20.6100 1.5850
19644 0.6520 1.5850
54992 0.7190 1.5850
26630 0.6370 1.5850
75094 3.3150 1.5850
339254 2.1070 1.5850
630728 3.1680 1.5850
385464 9.8490 1.5850
863980 12.8420 1.5850
1222096 6.1010 1.5850
72738 3.7310 1.5850
1538546 6.2210 1.5850
179698 3.1390 1.5850
94112 4.3680 1.5850
938634 9.5890 1.5850
158068 1.1350 1.5850
96682 4.3710 1.5850
154462 1.3730 1.5850
344072 1.8460 1.5850
32492 2.0310 1.5850
1510184 48.8750 1.5850
33278 0.7600 1.5850
32314 0.6940 1.5850
23040 3.5510 1.5850
1561740 6.4620 1.5850
502230 5.4170 1.5850
23670 0.6560 1.5850
69842 4.4910 1.5850
529596 5.0880 1.5850
24302 0.6530 1.5850
619174 6.4680 1.5850
18558 0.5290 1.5850
37568 3.6080 1.5850
65566 0.9330 1.5850
1339816 25.5140 1.5850
1375878 6.2960 1.5850
392352 2.0300 1.5850
749238 3.7970 1.5850
231260 5.3200 1.5850
322928 2.1400 1.5850
275486 1.6960 1.5850
1815176 29.2200 1.5850
36986 0.7400 1.5850
99122 6.2420 1.5850
111828 4.5370 1.5850
26420 11.4240 1.5850
261610 1.8390 1.5850
277464 6.7450 1.5850
532654 4.8140 1.5850
52172 3.9380 1.5850
100092 1.0210 1.5850
1588016 17.2590 1.5850
67504 4.5990 1.5850
35352 8.3890 1.5850
65126 2.5680 1.5850
223926 4.3240 1.5850
50862 0.7260 1.5850
221688 3.7290 1.5850
368928 2.1070 1.5850
1016882 4.4090 1.5850
1062256 11.0990 1.5850
85530 3.4030 1.5850
214562 1.3460 1.5850
68038 0.7540 1.5850
860538 4.0060 1.5850
39888 3.5360 1.5850
1601878 13.6020 1.5850
200130 1.4290 1.5850
2176956 100.1910 1.5850
115956 0.9990 1.5850
542022 2.7900 1.5850
983874 6.8490 1.5850
985376 4.3050 1.5850
464890 2.1970 1.5850
34674 2.7680 1.5850
1157868 9.1020 1.5850
489200 12.9540 1.5850
39454 0.7610 1.5850
35270 3.3510 1.5850
37896 4.2920 1.5850
962842 4.6820 1.5850
678344 9.0880 1.5850
59388 9.4580 1.5850
97016 1.0790 1.5850
39266 3.3550 1.5850
537842 2.7680 1.5850
142824 1.0610 1.5850
1717760 10.5220 1.5850
1573728 6.4800 1.5850
23960 3.0080 1.5850
71024 0.8260 1.5850
30996 0.7320 1.5850
78206 0.8280 1.5850
729942 24.8200 1.5850
1438016 5.7510 1.5850
445774 4.1170 1.5850
67172 0.8930 1.5850
60284 2.6830 1.5850
264164 1.5410 1.5850
31834 3.3320 1.5850
16762 0.9830 1.5850
83222 0.8740 1.5850
170036 5.0370 1.5850
148980 1.1980 1.5850
1608496 6.4690 1.5850
34654 0.6330 1.5850
643368 3.0160 1.5850
352012 6.7640 1.5850
227548 5.1230 1.5850
143072 7.5000 1.5850
1848220 6.6940 1.5850
2043392 7.6600 1.5850
298336 1.7370 1.5850
93658 0.9780 1.5850
287516 5.1660 1.5850
1268890 7.7430 1.5850
436696 10.0630 1.5850
155748 4.5740 1.5850
130368 1.3040 1.5850
282350 3.2890 1.5850
1248294 21.5880 1.5850
317974 1.6630 1.5850
283820 3.6960 1.5850
48702 3.9210 1.5850
72284 0.9020 1.5850
1503440 10.2110 1.5850
241252 4.8480 1.5850
98660 0.9740 1.5850
43762 0.7110 1.5850
263942 1.8500 1.5850
491138 19.5280 1.5850
1825704 12.4550 1.5850
1381010 5.3410 1.5850
1767598 12.9990 1.5850
79216 3.6650 1.5850
852550 4.4350 1.5850
31678 0.6280 1.5850
317068 1.8730 1.5850
48428 0.6800 1.5850
77066 3.6590 1.5850
1584042 13.2950 1.5850
1574138 17.5830 1.5850
262032 1.6210 1.5850
86580 1.7770 1.5850
95556 0.9130 1.5850
591010 3.4590 1.5850
188376 1.6650 1.5850
156694 5.4990 1.5850
397476 1.9910 1.5850
1453996 80.6850 1.5850
654286 3.5600 2.0000
654356 7.4010 2.0000
631062 19.6220 2.0000
74294 3.8830 2.0000
308808 1.9480 2.0000
523106 2.6680 2.0000
118274 1.2900 2.0000
363330 19.4760 2.0000
29144 0.7260 2.0000
576282 3.6110 2.0000
25766 0.7200 2.0000
1069392 7.2360 2.0000
40616 4.4700 2.0000
1659948 18.0510 2.0000
764838 10.4160 2.0000
253812 8.8830 2.0000
1217254 17.1770 2.0000
639420 3.0540 2.0000
72992 3.9130 2.0000
38606 0.9240 2.0000
1276652 22.2970 2.0000
543052 3.2240 2.0000
561582 9.0040 2.0000
452600 10.0070 2.0000
25572 0.7990 2.0000
263150 1.7290 2.0000
33162 0.7960 2.0000
1035018 11.9960 2.0000
179190 7.1090 2.0000
517712 3.0220 2.0000
283516 4.2100 2.0000
48552 0.8170 2.0000
1533698 7.3630 2.0000
104178 1.0090 2.0000
475166 7.0770 2.0000
61288 0.9270 2.0000
184032 1.4060 2.0000
367862 16.1090 2.0000
530140 2.7550 2.0000
43448 4.0460 2.0000
28290 0.6790 2.0000
156436 4.9820 2.0000
308248 4.9780 2.0000
93872 1.0260 2.0000
950474 4.3250 2.0000
54408 0.8130 2.0000
1273804 59.9830 2.0000
28844 12.8150 2.0000
463248 3.5140 2.0000
44766 3.9010 2.0000
64120 0.8710 2.0000
186712 6.4760 2.0000
700794 3.6310 2.0000
528518 2.9470 2.0000
46414 0.8970 2.0000
80642 5.1590 2.0000
647192 3.4580 2.0000
212016 1.6830 2.0000
2053242 8.1300 2.0000
479136 2.8200 2.0000
38146 2.6950 2.0000
39718 3.3380 2.0000
1774620 28.2100 2.0000
364432 2.4300 2.0000
51370 0.8620 2.0000
126526 2.9540 2.0000
112420 1.1510 2.0000
499570 20.5710 2.0000
1967892 8.1140 2.0000
130988 1.1830 2.0000
1885604 15.5530 2.0000
1554294 7.1040 2.0000
60086 2.1060 2.0000
2288362 17.5430 2.0000
76744 0.9560 2.0000
195062 8.9040 2.0000
116246 4.2990 2.0000
52916 0.9180 2.0000
56068 0.9910 2.0000
73138 5.3650 2.0000
38184 3.5430 2.0000
84124 7.9960 2.0000
289184 1.9580 2.0000
943786 4.3670 2.0000
459240 11.5550 2.0000
2302866 8.6720 2.0000
1685824 6.0680 2.0000
673520 3.2240 2.0000
159866 4.9010 2.0000
366026 2.1180 2.0000
11806 0.7110 2.0000
2192704 10.9160 2.0000
168876 1.2830 2.0000
2714922 18.0600 2.0000
1060780 4.8630 2.0000
197440 4.5320 2.0000
158362 3.7130 2.0000
38594 0.7050 2.0000
83174 4.7610 2.0000
238658 7.0570 2.0000
362618 2.2150 2.0000
33228 1.5650 2.0000
54252 3.2160 2.0000
1143224 11.0650 2.0000
60396 3.7210 2.0000
438190 2.3890 2.0000
135838 3.4160 2.0000
198242 1.4650 2.0000
252642 8.3430 2.0000
61328 3.0170 2.0000
2540818 21.1230 2.0000
251632 1.6080 2.0000
54300 0.8810 2.0000
1410300 6.2320 2.0000
205304 1.6040 2.0000
85136 8.1640 2.0000
89344 0.9940 2.0000
293352 2.0650 2.0000
91600 3.1460 2.0000
189606 1.4130 2.0000
714218 7.3410 2.0000
224190 1.4530 2.0000
74638 4.9710 2.0000
22542 0.7170 2.0000
1079264 5.1610 2.0000
247136 4.9480 2.0000
27568 3.7330 2.0000
804226 10.0820 2.0000
1895502 31.4850 2.0000
227538 1.5500 2.0000
1878128 6.8760 2.0000
2476032 20.4100 2.0000
21436 2.5670 2.0000
177420 6.0140 2.0000
1226302 7.0800 2.0000
123380 1.1420 2.0000
387422 5.0130 2.0000
317576 4.6260 2.0000
153556 1.3300 2.0000
572550 3.0200 2.0000
88002 4.6830 2.0000
98266 4.5010 2.0000
174412 3.3430 2.0000
325160 4.3070 2.0000
120306 1.1250 2.0000
1809900 42.7380 2.0000
200526 1.4930 2.0000
57912 4.6320 2.0000
1584274 6.8850 2.0000
31036 3.5010 2.0000
36900 3.1600 2.0000
1739048 10.4960 2.0000
270364 4.8460 2.0000
583404 11.6180 2.5850
185762 8.9680 2.5850
318256 6.8710 2.5850
1807848 12.2620 2.5850
101214 3.7950 2.5850
68368 3.1510 2.5850
1672402 7.1780 2.5850
696268 10.8410 2.5850
117394 4.5180 2.5850
102930 10.9260 2.5850
25902 0.9800 2.5850
163210 1.5150 2.5850
1096238 22.8480 2.5850
92768 4.4300 2.5850
143430 1.4160 2.5850
942562 11.8880 2.5850
972418 9.9800 2.5850
2923812 17.8010 2.5850
1347628 24.9050 2.5850
196576 7.2200 2.5850
2030850 8.3730 2.5850
318318 2.0750 2.5850
434500 2.4810 2.5850
2666358 20.0550 2.5850
46838 3.8980 2.5850
453604 3.2320 2.5850
2171178 9.2390 2.5850
1453618 8.6430 2.5850
132884 4.2010 2.5850
107634 1.3560 2.5850
130548 1.4200 2.5850
238660 4.0500 2.5850
186886 3.9740 2.5850
21430 6.0010 2.5850
40084 3.8080 2.5850
102108 6.0710 2.5850
213240 5.2570 2.5850
164752 6.6030 2.5850
63806 1.2840 2.5850
112356 6.6870 2.5850
604868 3.5900 2.5850
55054 17.7960 2.5850
2040952 84.9100 2.5850
40820 4.5380 2.5850
36878 4.5370 2.5850
1031818 15.4390 2.5850
333540 20.9810 2.5850
123854 5.5590 2.5850
2910380 38.6580 2.5850
730498 4.0670 2.5850
1239512 5.6780 2.5850
833804 30.8130 2.5850
49252 1.0350 2.5850
27970 4.4260 2.5850
235734 9.6040 2.5850
114396 3.9210 2.5850
25300 0.9330 2.5850
725996 22.6750 2.5850
39142 1.0880 2.5850
38428 6.3070 2.5850
57948 1.0690 2.5850
930174 8.0380 2.5850
90116 1.3490 2.5850
377344 2.3570 2.5850
1626464 13.6800 2.5850
3189774 24.0460 2.5850
2888376 40.0580 2.5850
238938 6.1680 2.5850
659234 9.4530 2.5850
2418054 26.5400 2.5850
13216 1.0040 2.5850
623254 3.4900 2.5850
65224 1.2190 2.5850
275390 7.7450 2.5850
64552 3.7700 2.5850
491946 4.0280 2.5850
2730484 20.1800 2.5850
634288 6.5430 2.5850
344500 16.4850 2.5850
815920 4.4540 2.5850
613402 5.7330 2.5850
89186 1.1900 2.5850
579736 9.4500 2.5850
457898 7.5590 2.5850
1048994 5.2040 2.5850
487408 3.0480 2.5850
35068 4.4610 2.5850
564944 18.5990 2.5850
3039028 19.2940 2.5850
471944 2.8480 2.5850
448044 6.0630 2.5850
162762 5.2140 2.5850
119938 3.7830 2.5850
36906 5.7050 2.5850
2157890 96.5090 2.5850
41324 3.8370 2.5850
25968 4.3400 2.5850
34530 0.9710 2.5850
47144 5.8380 2.5850
31000 0.8910 2.5850
322838 2.0920 2.5850
1275812 6.9010 2.5850
